Date,Time,CPU Temp,CPU Load,Total Mem,Free Mem,Used Mem
13-10-2021,16:12:26,83.8,75.2739,895008,616792,278216
13-10-2021,16:12:27,82.7,75.3012,895008,617136,277872
13-10-2021,16:12:28,83.3,75.3398,895008,617408,277600
13-10-2021,16:12:29,83.8,75.3642,895008,617300,277708
13-10-2021,16:12:30,83.3,75.3757,895008,617004,278004
13-10-2021,16:12:31,83.3,75.4002,895008,616388,278620
13-10-2021,16:12:32,82.7,75.417,895008,618432,276576
13-10-2021,16:12:33,83.3,75.4451,895008,617604,277404
13-10-2021,16:12:34,82.7,75.4765,895008,618000,277008
13-10-2021,16:12:35,83.3,75.5108,895008,617876,277132
13-10-2021,16:12:37,82.7,75.538,895008,617952,277056
13-10-2021,16:12:38,82.7,75.5614,895008,617932,277076
13-10-2021,16:12:39,82.7,75.5767,895008,617560,277448
13-10-2021,16:12:40,82.7,75.5891,895008,616712,278296
13-10-2021,16:12:41,83.3,75.6314,895008,619008,276000
13-10-2021,16:12:42,83.3,75.6469,895008,618172,276836
13-10-2021,16:12:43,83.3,75.6732,895008,617620,277388
13-10-2021,16:12:44,83.8,75.6879,895008,617524,277484
13-10-2021,16:12:45,83.3,75.7173,895008,619028,275980
13-10-2021,16:12:47,82.7,75.733,895008,618492,276516
13-10-2021,16:12:48,83.8,75.7621,895008,616772,278236
13-10-2021,16:12:49,83.3,75.7801,895008,617784,277224
13-10-2021,16:12:50,83.8,75.809,895008,617352,277656
13-10-2021,16:12:51,83.8,75.8811,895008,616536,278472
13-10-2021,16:12:52,83.8,75.8964,895008,618288,276720
13-10-2021,16:12:53,83.3,75.9125,895008,617384,277624
13-10-2021,16:12:54,82.7,75.9383,895008,617176,277832
13-10-2021,16:12:56,83.8,75.9672,895008,617068,277940
13-10-2021,16:12:57,83.8,75.9838,895008,617492,277516
13-10-2021,16:12:58,82.7,75.9998,895008,617552,277456
13-10-2021,16:12:59,83.8,76.0155,895008,616796,278212
13-10-2021,16:13:00,82.7,76.0281,895008,616824,278184
13-10-2021,16:13:01,83.8,76.0505,895008,617056,277952
13-10-2021,16:13:02,83.8,76.0706,895008,616964,278044
13-10-2021,16:13:03,83.8,76.0883,895008,618560,276448
13-10-2021,16:13:04,83.8,76.1186,895008,617004,278004
13-10-2021,16:13:06,83.8,76.1378,895008,617960,277048
13-10-2021,16:13:07,83.3,76.1629,895008,617008,278000
13-10-2021,16:13:08,83.8,76.1882,895008,617328,277680
13-10-2021,16:13:09,83.8,76.2017,895008,615920,279088
13-10-2021,16:13:10,83.8,76.223,895008,617284,277724
13-10-2021,16:13:11,83.8,76.248,895008,616836,278172
13-10-2021,16:13:12,83.3,76.2827,895008,615800,279208
13-10-2021,16:13:13,83.8,76.3025,895008,616924,278084
13-10-2021,16:13:14,83.8,76.3247,895008,614440,280568
13-10-2021,16:13:15,83.8,76.3493,895008,616160,278848
13-10-2021,16:13:17,83.8,76.3812,895008,616772,278236
13-10-2021,16:13:18,83.8,76.4069,895008,617264,277744
13-10-2021,16:13:19,83.8,76.4311,895008,616752,278256
13-10-2021,16:13:20,83.8,76.4496,895008,616848,278160
13-10-2021,16:13:21,83.3,76.4816,895008,616416,278592
13-10-2021,16:13:22,83.8,76.5007,895008,616028,278980
13-10-2021,16:13:23,83.8,76.5244,895008,616604,278404
13-10-2021,16:13:24,83.3,76.5467,895008,616216,278792
13-10-2021,16:13:25,83.8,76.5606,895008,616752,278256
13-10-2021,16:13:27,83.8,76.5825,895008,617076,277932
13-10-2021,16:13:28,84.4,76.5976,895008,617604,277404
13-10-2021,16:13:29,82.7,76.61,895008,616368,278640
13-10-2021,16:13:30,83.8,76.6272,895008,616668,278340
13-10-2021,16:13:31,83.8,76.6427,895008,617580,277428
13-10-2021,16:13:32,83.8,76.6591,895008,616236,278772
